allocator, file, registers, cycles, time
Bottom Up, report1.i, 5, 192, 0.005000
Top Down Class, report1.i, 5, 321, 0.011000
Top Down EAC, report1.i, 5, 505, 0.006000
Bottom Up, report1.i, 10, 107, 0.006000
Top Down Class, report1.i, 10, 186, 0.007000
Top Down EAC, report1.i, 10, 465, 0.005000
Bottom Up, report1.i, 20, 65, 0.005000
Top Down Class, report1.i, 20, 65, 0.008000
Top Down EAC, report1.i, 20, 353, 0.006000
Bottom Up, report2.i, 5, 62, 0.006000
Top Down Class, report2.i, 5, 146, 0.006000
Top Down EAC, report2.i, 5, 390, 0.004000
Bottom Up, report2.i, 10, 62, 0.006000
Top Down Class, report2.i, 10, 62, 0.006000
Top Down EAC, report2.i, 10, 333, 0.005000
Bottom Up, report2.i, 20, 62, 0.004000
Top Down Class, report2.i, 20, 62, 0.007000
Top Down EAC, report2.i, 20, 228, 0.005000
Bottom Up, report3.i, 5, 105, 0.005000
Top Down Class, report3.i, 5, 241, 0.006000
Top Down EAC, report3.i, 5, 329, 0.005000
Bottom Up, report3.i, 10, 70, 0.005000
Top Down Class, report3.i, 10, 121, 0.007000
Top Down EAC, report3.i, 10, 278, 0.004000
Bottom Up, report3.i, 20, 52, 0.004000
Top Down Class, report3.i, 20, 52, 0.007000
Top Down EAC, report3.i, 20, 151, 0.004000
Bottom Up, report5.i, 5, 150, 0.006000
Top Down Class, report5.i, 5, 343, 0.009000
Top Down EAC, report5.i, 5, 366, 0.005000
Bottom Up, report5.i, 10, 104, 0.005000
Top Down Class, report5.i, 10, 259, 0.006000
Top Down EAC, report5.i, 10, 318, 0.005000
Bottom Up, report5.i, 20, 50, 0.005000
Top Down Class, report5.i, 20, 156, 0.006000
Top Down EAC, report5.i, 20, 188, 0.005000
Bottom Up, report4.i, 5, 51, 0.004000
Top Down Class, report4.i, 5, 65, 0.010000
Top Down EAC, report4.i, 5, 267, 0.005000
Bottom Up, report4.i, 10, 46, 0.005000
Top Down Class, report4.i, 10, 46, 0.006000
Top Down EAC, report4.i, 10, 223, 0.004000
Bottom Up, report4.i, 20, 46, 0.006000
Top Down Class, report4.i, 20, 46, 0.007000
Top Down EAC, report4.i, 20, 163, 0.005000
Bottom Up, report6.i, 5, 58, 0.006000
Top Down Class, report6.i, 5, 163, 0.006000
Top Down EAC, report6.i, 5, 357, 0.009000
Bottom Up, report6.i, 10, 52, 0.006000
Top Down Class, report6.i, 10, 52, 0.006000
Top Down EAC, report6.i, 10, 322, 0.005000
Bottom Up, report6.i, 20, 52, 0.007000
Top Down Class, report6.i, 20, 52, 0.007000
Top Down EAC, report6.i, 20, 257, 0.005000
